"Date","Time","Identity","Internal IP Address","External IP Address","Action","Destination","Categories"
"2014-06-06","16:13:21","Don Durden","96.31.250.226","96.31.250.226","Blocked","http://fast.adobe.demdex.net/dest4.html?d_nsid=0","Enterprise Malware"
"2014-06-06","15:47:54","Alex","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32460&geo=na&co=us","Enterprise Malware"
"2014-06-06","15:46:11","Alex","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32460&geo=na&co=us","Enterprise Malware"
"2014-06-06","15:42:35","Alex","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32460&geo=na&co=us","Enterprise Malware"
"2014-06-06","15:26:43","Alex","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32460&geo=na&co=us","Enterprise Malware"
"2014-06-06","15:24:44","Alex","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32460&geo=na&co=us","Enterprise Malware"
"2014-05-30","14:11:56","Default Site","10.0.0.88","96.31.250.226","Blocked","stat.info-stream.net","Enterprise Malware"
"2014-06-06","14:28:23","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-06","14:28:23","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-06","14:28:23","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-06","14:28:23","CROSSTOWN-T-PC","96.31.250.226","96.31.250.226","Blocked","http://redir.adap.tv/redir/client/FPSDetector.swf","Enterprise Malware"
"2014-06-06","13:54:54","Default Site","96.31.250.226","96.31.250.226","Blocked","http://www.da-ads.com/google.html?cb=1401082345","Enterprise Malware"
"2014-06-06","13:54:45","Default Site","96.31.250.226","96.31.250.226","Blocked","http://www.da-ads.com/google.html?cb=1401082345","Enterprise Malware"
"2014-06-06","13:54:03","Default Site","96.31.250.226","96.31.250.226","Blocked","http://www.da-ads.com/google.html?cb=1401082345","Enterprise Malware"
"2014-06-06","13:53:31","Default Site","96.31.250.226","96.31.250.226","Blocked","http://www.da-ads.com/google.html?cb=1401082345","Enterprise Malware"
"2014-06-06","13:53:24","Default Site","96.31.250.226","96.31.250.226","Blocked","http://www.da-ads.com/google.html?cb=1401082345","Enterprise Malware"
"2014-06-06","13:52:54","Default Site","96.31.250.226","96.31.250.226","Blocked","http://www.da-ads.com/google.html?cb=1401082345","Enterprise Malware"
"2014-06-06","13:52:21","Default Site","96.31.250.226","96.31.250.226","Blocked","http://www.da-ads.com/google.html?cb=1401082345","Enterprise Malware"
"2014-05-28","21:56:19","Adam","10.0.0.62","96.31.250.226","Blocked","onramp.dot.ca.gov","Government,Suspicious Response"
"2014-06-05","22:06:26","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32454&geo=na&co=us","Enterprise Malware"
"2014-06-05","21:49:02","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32454&geo=na&co=us","Enterprise Malware"
"2014-06-05","21:45:26","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32454&geo=na&co=us","Enterprise Malware"
"2014-06-05","21:15:22","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32460&geo=na&co=us","Enterprise Malware"
"2014-06-05","21:15:22","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32454&geo=na&co=us","Enterprise Malware"
"2014-06-05","21:13:38","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32454&geo=na&co=us","Enterprise Malware"
"2014-06-05","21:13:38","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32460&geo=na&co=us","Enterprise Malware"
"2014-05-28","14:55:01","Default Site","10.0.0.88","96.31.250.226","Blocked","stat.info-stream.net","Enterprise Malware"
"2014-06-05","20:53:59","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32460&geo=na&co=us","Enterprise Malware"
"2014-06-05","20:53:59","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32454&geo=na&co=us","Enterprise Malware"
"2014-06-05","20:53:28","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32454&geo=na&co=us","Enterprise Malware"
"2014-06-05","20:52:29","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32454&geo=na&co=us","Enterprise Malware"
"2014-06-05","20:51:19","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32454&geo=na&co=us","Enterprise Malware"
"2014-06-05","20:50:40","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32460&geo=na&co=us","Enterprise Malware"
"2014-06-05","20:47:00","Default Site","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?pc=11440/32460&geo=na&co=us","Enterprise Malware"
"2014-06-05","20:32:00","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-05","20:31:59","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-05","20:31:45","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
"2014-06-05","20:31:44","Adam","96.31.250.226","96.31.250.226","Blocked","http://tap2-cdn.rubiconproject.com/partner/scripts/rubicon/emily.html?rtb_ext=1&pc=9061/15299&geo=na&co=us","Enterprise Malware"
